ID,Tipo_escuela,ESCUELA,GRADO,Grupo,Anios,Total_meses,Sexo,Calificacion,ConteoT,Target,NumEntrenamientos,ConteoCorrecto11-14,Conteocorrecto_Target11-14,NumEntrenamientos2,ConteoCorrecto12-13,Conteocorrecto_Target12-13,Nivel _actividad,Sonrisa_Risa,Placer_alta_intensidad,Impulsividad,Aprox,Timidez,Miedo,Malestar,Tristeza,Frustracion,Autotranquilizacion,control_Inhibitorio,Placer_baja_intensidad,Sensibilidad perceptual,Atencion_foc,Shifting,conjunto_atencion,CE_condistractibilidad,AfectoNegativo,ExtraversionSurgency,CE_sindistractibilidad,ANT_errores_porcentaje_50,ANT_porcentaje_errores_omision_50,ANT_porcentaje_errores_comision_50,ANT_porcentaje_correctas_50,ANT_filtrado_50,Alerta_50,Orientacion_50,Conflicto_50,Perfiles,Perfiles_sindistac
1,0,1,1,1,7,90,1,6.1,11,1,3,1,1,1,0,0,3.923076923,4.230769231,4.692307692,4.076923077,4.461538462,3.916666667,4.4,3.4,4.5,4.461538462,4.153846154,3.333333333,4,4.090909091,4.444444444,4.4,4.428571429,4.053737374,4.183076923,4.216880342,3.967171717,24.30555556,8.163265306,17.68707483,75.69444444,1,26.5,-30.5,29.5,0,0
3,0,1,1,1,6,79,0,9.3,10,1,3,0,0,2,0,0,4.076923077,4.230769231,4.461538462,4.769230769,5.384615385,4.076923077,5,4.666666667,5,4.692307692,4.769230769,4,4.461538462,5,4.333333333,4.2,4.285714286,4.398974359,4.825641026,4.5,4.448717949,,,,,0,,,,1,1
5,0,1,1,1,6,79,0,9.3,13,1,3,1,1,1,1,1,5.461538462,5.846153846,5.692307692,5.230769231,6.153846154,2.538461538,4.166666667,3.666666667,4,4.692307692,4.846153846,3.769230769,5.307692308,5,4,4.2,4.071428571,4.455384615,4.274358974,5.153846154,4.519230769,20.83333333,4.081632653,18.36734694,79.16666667,1,102,-49.5,-11,0,0
6,0,1,1,1,6,75,1,6.7,12,0,3,1,0,1,1,0,4.583333333,4.181818182,5,4.090909091,5.083333333,3.666666667,2.888888889,4.111111111,4.454545455,4.6,3.538461538,4.416666667,4.8,4,3.222222222,4.4,3.642857143,4.167777778,3.918601399,4.434343434,4.109722222,15.97222222,12.92517007,4.761904762,84.02777778,1,186,29,97,0,0
8,0,1,1,1,6,77,1,6.6,8,1,3,0,0,1,0,0,5.153846154,4.692307692,4.769230769,4.846153846,5,3.384615385,4.583333333,4.583333333,4.666666667,4.461538462,4.461538462,4.307692308,5.230769231,4.5,4,3.4,3.785714286,4.287692308,4.551282051,4.641025641,4.509615385,29.86111111,21.08843537,10.20408163,70.13888889,1,67,52.5,19,1,1
11,0,1,1,1,6,77,1,8.4,12,1,3,1,1,1,1,1,4.076923077,6,3.307692308,3.923076923,5.461538462,3.538461538,3.583333333,3.166666667,4,4.076923077,5.153846154,5.615384615,5.692307692,5.5,4.777777778,4,4.5,5.117094017,3.996153846,4.384615385,5.396367521,17.36111111,2.040816327,17.00680272,82.63888889,1,123,154,155,2,2
12,0,1,1,1,6,82,0,9.7,12,1,3,1,1,2,1,1,4.923076923,6.153846154,5.538461538,4.615384615,6,3.666666667,3.916666667,3.75,4.5,4.153846154,5.153846154,4.538461538,5.923076923,5.75,4.111111111,3.4,3.857142857,4.744529915,4.294871795,5.14957265,5.080662393,4.861111111,3.401360544,3.401360544,95.13888889,1,83.5,172,36.5,2,2
13,0,1,1,1,6,79,0,9.7,7,0,3,0,0,3,0,0,4.692307692,4.923076923,5.461538462,4.615384615,5.153846154,3.384615385,4.25,4.666666667,4.666666667,4.230769231,4.384615385,3.923076923,5.153846154,4.916666667,3.888888889,4,3.928571429,4.376495726,4.43974359,4.705128205,4.470619658,8.333333333,6.12244898,4.081632653,91.66666667,1,97,70,62,1,1
14,0,1,1,1,6,80,1,7.8,11,1,3,1,1,3,0,0,4.153846154,4.083333333,4.615384615,4.538461538,4.769230769,3.615384615,3.666666667,4,4.916666667,4.076923077,4.153846154,4.153846154,4.692307692,4.083333333,4.333333333,4,4.214285714,4.252564103,4.162820513,4.295940171,4.315705128,43.75,30.6122449,14.28571429,56.25,1,130.5,113,402.5,0,0
16,0,1,1,1,6,76,0,6.6,14,1,3,1,1,2,0,0,5.5,5.692307692,4.692307692,4.090909091,5.384615385,3.461538462,4.4,3.5,3.909090909,2.909090909,4.666666667,4.25,5.769230769,5.636363636,3.666666667,4,3.769230769,4.664452214,3.876969697,4.803613054,4.830565268,,,,,0,,,,0,2
