"","ID","ESCUELA","GRADO","Grupo","Anios","Total_meses","Sexo","Calificacion","ConteoT","Target","NumEntrenamientos","ConteoCorrecto11-14","Conteocorrecto_Target11-14","NumEntrenamientos2","ConteoCorrecto12-13","Conteocorrecto_Target12-13","Nivel _actividad","Sonrisa_Risa","Placer_alta_intensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracion","Autotranquilizacion","control_Inhibitorio","Placer_baja_intensidad","Sensibilidad perceptual","Atencion_foc","Shifting","conjunto_atencion","CE_condistractibilidad","AfectoNegativo","ExtraversionSurgency","CE_sindistractibilidad","Alerta","Orientacion","Conflicto","ANT_porcentajecorrecto","Perfiles","Perfiles_sindistac","CE_AltosBajos","AN_AltosBajos","Surgency_AltosBajos","CE_sindistrac_AltosBajos","CE_super_AltosBajos","AN_super_AltosBajos","Sugency_super_AltosBajos","CE_sindistrac_super_AltosBajos","Alerta_AltosBajos","Orientacion_AltosBajos","Conflicto_AltosBajos"
"1","001",1,1,1,7,90,1,6.1,11,1,3,1,1,1,0,0,3.92307692307692,4.23076923076923,4.69230769230769,4.07692307692308,4.46153846153846,3.91666666666667,4.4,3.4,4.5,4.46153846153846,4.15384615384615,3.33333333333333,4,4.09090909090909,4.44444444444444,4.4,4.42857142857143,4.05373737373737,4.18307692307692,4.21688034188034,3.96717171717172,26.5,-30.5,29.5,75.6944444444444,"0",0,0,0,0,0,0,NA,0,0,0,0,0
"2","002",1,1,1,6,81,0,7.1,NA,NA,3,NA,NA,NA,NA,NA,5,5.41666666666667,5.83333333333333,4.91666666666667,5.58333333333333,1.91666666666667,2.91666666666667,2.90909090909091,3.91666666666667,4.23076923076923,5,5.41666666666667,6.08333333333333,6.09090909090909,4.66666666666667,4.5,4.61538461538461,5.35151515151515,3.79463869463869,4.77777777777778,5.56439393939394,NA,NA,NA,NA,"2",2,1,0,1,1,1,0,NA,1,NA,NA,NA
"3","003",1,1,1,6,79,0,9.3,10,1,3,0,0,2,0,0,4.07692307692308,4.23076923076923,4.46153846153846,4.76923076923077,5.38461538461539,4.07692307692308,5,4.66666666666667,5,4.69230769230769,4.76923076923077,4,4.46153846153846,5,4.33333333333333,4.2,4.28571428571429,4.39897435897436,4.82564102564103,4.5,4.44871794871795,-289,39,39,17.3611111111111,"1",1,0,1,0,0,0,1,NA,0,0,0,0
"4","004",1,1,1,6,79,0,8.7,NA,NA,3,NA,NA,NA,NA,NA,4.76923076923077,4.76923076923077,3.84615384615385,4.23076923076923,5.58333333333333,3.76923076923077,3.66666666666667,3.45454545454545,4.18181818181818,4.92307692307692,5.23076923076923,4.23076923076923,5.15384615384615,4.5,3.55555555555556,4.25,3.76923076923077,4.33803418803419,4.29137529137529,4.49465811965812,4.36004273504274,NA,NA,NA,NA,"0",0,0,0,0,0,0,NA,NA,0,NA,NA,NA
"5","005",1,1,1,6,79,0,9.3,13,1,3,1,1,1,1,1,5.46153846153846,5.84615384615385,5.69230769230769,5.23076923076923,6.15384615384615,2.53846153846154,4.16666666666667,3.66666666666667,4,4.69230769230769,4.84615384615385,3.76923076923077,5.30769230769231,5,4,4.2,4.07142857142857,4.45538461538461,4.27435897435897,5.15384615384615,4.51923076923077,102,-49.5,-11,79.1666666666666,"0",0,0,0,1,0,NA,NA,1,0,1,0,0
"6","006",1,1,1,6,75,1,6.7,12,0,3,1,0,1,1,0,4.58333333333333,4.18181818181818,5,4.09090909090909,5.08333333333333,3.66666666666667,2.88888888888889,4.11111111111111,4.45454545454545,4.6,3.53846153846154,4.41666666666667,4.8,4,3.22222222222222,4.4,3.64285714285714,4.16777777777778,3.9186013986014,4.43434343434343,4.10972222222222,186,29,97,84.0277777777777,"0",0,0,0,0,0,0,0,NA,0,1,0,1
"7","007",1,1,1,6,81,1,7.7,NA,NA,3,NA,NA,NA,NA,NA,4.07692307692308,4.46153846153846,3.92307692307692,4.30769230769231,5.07692307692308,2.38461538461538,3.66666666666667,4,3.83333333333333,3.61538461538462,4.5,4.76923076923077,5.15384615384615,5.08333333333333,4,4.4,4.14285714285714,4.68128205128205,3.92307692307692,4.03846153846154,4.75160256410256,NA,NA,NA,NA,"0",0,0,0,0,0,NA,0,0,NA,NA,NA,NA
"8","008",1,1,1,6,77,1,6.6,8,1,3,0,0,1,0,0,5.15384615384615,4.69230769230769,4.76923076923077,4.84615384615385,5,3.38461538461538,4.58333333333333,4.58333333333333,4.66666666666667,4.46153846153846,4.46153846153846,4.30769230769231,5.23076923076923,4.5,4,3.4,3.78571428571429,4.28769230769231,4.55128205128205,4.64102564102564,4.50961538461539,67,52.5,19,70.1388888888888,"1",1,0,1,1,0,0,1,NA,0,1,1,0
"9","009",1,1,1,6,81,0,7.8,NA,NA,3,NA,NA,NA,NA,NA,2.92307692307692,4,4,3.61538461538462,4.15384615384615,4.07692307692308,3.08333333333333,4.08333333333333,3.5,3.38461538461538,3.33333333333333,3.76923076923077,4.30769230769231,3.58333333333333,3.88888888888889,4.2,4,3.94982905982906,3.47692307692308,3.7948717948718,3.88728632478632,NA,NA,NA,NA,"0",0,0,0,0,0,0,0,0,0,NA,NA,NA
"10","010",1,1,1,6,77,1,7,NA,NA,3,NA,NA,NA,NA,NA,5.53846153846154,5.38461538461539,5.76923076923077,5.84615384615385,5.76923076923077,2.61538461538462,3.83333333333333,3.5,3.90909090909091,5.46153846153846,3.84615384615385,3.46153846153846,5.53846153846154,5.5,2.77777777777778,2.8,2.78571428571429,4.01555555555556,4.11002331002331,5.15384615384615,4.31944444444444,NA,NA,NA,NA,"0",0,0,0,1,0,0,0,1,0,NA,NA,NA
