"","CE","AN","SU","perfil"
"fs2001",4.026739001739,5.02307692307692,5.52564102564103,"risky"
"fs2002",5.54006919006919,3.71923076923077,4.69017094017094,"easy"
"fs2003",4.2039849039849,4.52179487179487,4.8792735042735,"risky"
"fs2004",5.05181115181115,4.43846153846154,4.84615384615385,"intense"
"fs2005",4.62853072853073,4.26538461538462,4.58119658119658,"disengaged"
"fs2006",5.63464590964591,4.55384615384615,4.64209401709402,"intense"
"fs2007",5.66311558811559,4.39230769230769,5.08653846153846,"intense"
"fs2008",4.19936082436082,4.54615384615385,5.09935897435897,"risky"
"fs2009",4.42019277019277,4.05128205128205,4.59401709401709,"disengaged"
"fs2010",4.71712454212454,4.71794871794872,4.94444444444444,"intense"
"fs2011",5.09390516890517,3.98333333333333,5.46581196581197,"easy"
"fs2012",4.73748473748474,4.87435897435897,5.23931623931624,"intense"
"fs2013",4.58183760683761,4.36538461538461,4.42521367521368,"risky"
"fs2014",4.50318477818478,4.77307692307692,4.85897435897436,"risky"
"fs2015",4.51656399156399,4.1,5.05769230769231,"disengaged"
"fs2016",5.07340252340252,3.92948717948718,4.32051282051282,"easy"
"fs2017",5.51225626225626,3.81025641025641,4.5224358974359,"easy"
"fs2018",5.3454822954823,4.02051282051282,4.65384615384615,"easy"
"fs2019",4.51131461131461,4.12564102564103,4.34935897435897,"disengaged"
"fs2020",4.83474765974766,4.59230769230769,4.91025641025641,"intense"
"fs2021",4.51105006105006,4.01538461538462,5.35897435897436,"disengaged"
"fs2022",4.63093203093203,4.3974358974359,4.71153846153846,"risky"
"fs2023",4.99282661782662,4.27435897435897,4.63888888888889,"easy"
"fs2024",4.81211103711104,4.2525641025641,4.26282051282051,"easy"
"fs2025",4.68239723239723,4.00769230769231,4.26816239316239,"disengaged"
"fs2026",4.79320309320309,4.20512820512821,4.43055555555556,"easy"
"fs2027",5.21507566507567,3.60769230769231,4.42948717948718,"easy"
"fs2028",4.22664835164835,4.5474358974359,4.53846153846154,"risky"
"fs2029",4.74152421652422,4.46666666666667,4.63995726495726,"intense"
"fs2030",4.45566748066748,4.41153846153846,4.64636752136752,"risky"
"fs2031",4.69582824582825,4.16666666666667,4.34615384615385,"disengaged"
"fs2032",4.50956450956451,4.38205128205128,4.21794871794872,"risky"
"fs2033",4.66300181300181,3.91794871794872,4.68376068376068,"disengaged"
"fs2034",4.91738909238909,4.74102564102564,4.8974358974359,"intense"
"fs2035",4.78317053317053,3.76794871794872,4.94551282051282,"easy"
"fs2036",4.61177248677249,4.42051282051282,4.74358974358974,"risky"
